,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,5,Exp3,gravity,yIfGravityPredictError,0.2699538308412483
0,2,5,Exp3,horizontalMove,yIfGravityPredictError,0.6339710385003424
0,2,5,Exp3,noGravity,yIfGravityPredictError,0.05214948984877922
0,2,6,Exp1,horizontal,Nothing,0.5034446716308594
0,2,6,Exp1,vertical,Nothing,0.26317596435546875
0,2,6,Exp2,"(0, 400)",水平误差,0.6032589844377697
0,2,6,Exp2,"(0, 800)",水平误差,0.3935228364051975
0,2,6,Exp2,"(45, 400)",水平误差,0.3451326896489288
0,2,6,Exp2,"(45, 800)",水平误差,0.20847517756060843
0,2,6,Exp2,"(90, 400)",水平误差,0.3656138102554225
0,2,6,Exp2,"(90, 800)",水平误差,0.39726541393818543
0,2,6,Exp2,"(135, 400)",水平误差,0.6310114529554551
0,2,6,Exp2,"(135, 800)",水平误差,0.24919519933207843
0,2,6,Exp2,"(180, 400)",水平误差,0.9701802760058986
0,2,6,Exp2,"(180, 800)",水平误差,0.6398272518904604
0,2,6,Exp2,"(225, 400)",水平误差,0.2922622108710311
0,2,6,Exp2,"(225, 800)",水平误差,0.46925790665367206
0,2,6,Exp2,"(270, 400)",水平误差,0.29516723530087463
0,2,6,Exp2,"(270, 800)",水平误差,0.5000000000000037
0,2,6,Exp2,"(315, 400)",水平误差,0.4747522406168868
0,2,6,Exp2,"(315, 800)",水平误差,0.31438187765215114
0,2,6,Exp2,"(0, 400)",垂直误差,0.7662498774953133
0,2,6,Exp2,"(0, 800)",垂直误差,0.07044657495455466
0,2,6,Exp2,"(45, 400)",垂直误差,0.47320432124674
0,2,6,Exp2,"(45, 800)",垂直误差,0.3935228364051936
0,2,6,Exp2,"(90, 400)",垂直误差,0.4824260922862949
0,2,6,Exp2,"(90, 800)",垂直误差,0.5266336503339972
0,2,6,Exp2,"(135, 400)",垂直误差,0.4965928456061315
0,2,6,Exp2,"(135, 800)",垂直误差,0.2750769490159771
0,2,6,Exp2,"(180, 400)",垂直误差,0.3166182068693899
0,2,6,Exp2,"(180, 800)",垂直误差,0.7951672353008712
0,2,6,Exp2,"(225, 400)",垂直误差,0.4377572405810247
0,2,6,Exp2,"(225, 800)",垂直误差,0.11266053053782893
0,2,6,Exp2,"(270, 400)",垂直误差,0.3511944694027576
0,2,6,Exp2,"(270, 800)",垂直误差,0.8820038302649196
0,2,6,Exp2,"(315, 400)",垂直误差,0.5411787147833488
0,2,6,Exp2,"(315, 800)",垂直误差,0.5555570074905092
0,2,6,Exp2,"('斜向上', 400)",水平误差,0.4426842849174697
0,2,6,Exp2,"('斜向上', 800)",水平误差,0.645975200484722
0,2,6,Exp2,"('斜向下', 400)",水平误差,0.1979908692716113
0,2,6,Exp2,"('斜向下', 800)",水平误差,0.09486538728719293
0,2,6,Exp2,"('水平', 400)",水平误差,0.8534923269446809
0,2,6,Exp2,"('水平', 800)",水平误差,0.9750866466286695
0,2,6,Exp2,"('竖直', 400)",水平误差,0.6390576481277279
0,2,6,Exp2,"('竖直', 800)",水平误差,0.1451401289392425
0,2,6,Exp2,"('斜向上', 400)",垂直误差,0.19082007963129327
0,2,6,Exp2,"('斜向上', 800)",垂直误差,0.12003742401744234
0,2,6,Exp2,"('斜向下', 400)",垂直误差,0.18375817802047553
0,2,6,Exp2,"('斜向下', 800)",垂直误差,0.12746469676079827
0,2,6,Exp2,"('水平', 400)",垂直误差,0.5473032273679233
0,2,6,Exp2,"('水平', 800)",垂直误差,0.924755664714628
0,2,6,Exp2,"('竖直', 400)",垂直误差,0.36630921670017214
0,2,6,Exp2,"('竖直', 800)",垂直误差,0.39588840367806494
0,2,6,Exp3,gravity,xIfNoGravityPredictError,0.20017733733401796
